MembershipID,UserID,OrgID,Status,DateApplied,DateApproved
100,1,1,Approved,2024-01-05,2024-01-10
101,2,2,Approved,2024-01-07,2024-01-12
102,3,1,Approved,2024-01-08,2024-01-15
103,4,3,Approved,2024-02-01,2024-02-05
104,5,4,Approved,2024-02-02,2024-02-07
105,6,5,Approved,2024-02-05,2024-02-10
106,7,1,Approved,2024-02-09,2024-02-14
107,8,2,Approved,2024-02-10,2024-02-15
108,9,3,Approved,2024-02-11,2024-02-16
109,10,4,Approved,2024-02-12,2024-02-17
110,11,6,Approved,2024-02-15,2024-02-20
111,12,4,Approved,2024-02-16,2024-02-21
112,13,7,Approved,2024-02-18,2024-02-23
113,14,3,Approved,2024-02-19,2024-02-24
114,15,7,Approved,2024-02-20,2024-02-25
115,16,6,Approved,2024-02-21,2024-02-26
116,17,1,Approved,2024-02-22,2024-02-27
117,18,4,Approved,2024-02-23,2024-02-28
118,19,3,Approved,2024-02-24,2024-02-29
119,20,2,Approved,2024-02-25,2024-03-01
120,21,3,Approved,2024-02-26,2024-03-02
121,22,4,Approved,2024-02-27,2024-03-03
122,23,7,Approved,2024-02-28,2024-03-04
123,24,6,Approved,2024-03-02,2024-03-06
124,25,7,Approved,2024-03-03,2024-03-07
125,26,1,Approved,2024-03-04,2024-03-08
126,27,2,Approved,2024-03-05,2024-03-09
127,28,4,Approved,2024-03-06,2024-03-10
128,29,5,Approved,2024-03-07,2024-03-11
129,30,4,Approved,2024-03-08,2024-03-12
130,31,6,Approved,2024-03-09,2024-03-13
131,32,4,Approved,2024-03-10,2024-03-14
132,33,7,Approved,2024-03-11,2024-03-15
133,34,3,Approved,2024-03-12,2024-03-16
134,35,2,Approved,2024-03-13,2024-03-17
135,36,1,Approved,2024-03-14,2024-03-18
136,37,4,Approved,2024-03-15,2024-03-19
137,38,3,Approved,2024-03-16,2024-03-20
138,39,7,Approved,2024-03-17,2024-03-21
139,40,6,Approved,2024-03-18,2024-03-22
140,41,4,Approved,2024-03-19,2024-03-23
141,42,3,Approved,2024-03-20,2024-03-24
142,43,7,Approved,2024-03-21,2024-03-25
143,44,6,Approved,2024-03-22,2024-03-26
144,45,1,Approved,2024-03-23,2024-03-27
145,46,2,Approved,2024-03-24,2024-03-28
146,47,4,Approved,2024-03-25,2024-03-29
147,48,3,Approved,2024-03-26,2024-03-30
148,49,7,Approved,2024-03-27,2024-03-31
149,50,6,Approved,2024-03-28,2024-04-01